DEPARTMENT,EMPLOYEE_ID,END_DATE,ID,POSITION,REASON_FOR_LEAVING,SALARY,START_DATE
Engineering,1,2019-05-31,1,Junior Software Engineer,Promotion to Software Engineer,60000.0,2017-06-01
Engineering,1,2021-05-31,2,Software Engineer,Seeking better opportunities,75000.0,2019-06-01
Engineering,8,2018-06-30,3,Junior Machine Learning Engineer,Promotion to ML Engineer,90000.0,2016-05-01
Engineering,8,2020-06-30,4,Machine Learning Engineer,Internal department transfer,120000.0,2018-07-01
IT,17,2017-05-31,5,Network Administrator,Promotion to Network Security Engineer,65000.0,2015-02-01
IT,17,2018-09-30,6,Network Security Engineer,Career growth in cloud infrastructure,90000.0,2017-06-01
IT,32,2020-07-31,7,Cloud Engineer,Transition to DevOps,105000.0,2018-10-01
IT,32,2022-05-31,8,DevOps Specialist,New role at another company,98000.0,2020-08-01
Engineering,34,2018-10-31,9,Junior Security Engineer,Promotion to Security Engineer,80000.0,2015-09-01
Engineering,34,2021-10-31,10,Security Engineer,Job change for career advancement,108000.0,2018-11-01
Engineering,1,,11,Senior Software Engineer,,95000.0,2021-06-01
Engineering,8,,12,Lead Machine Learning Engineer,,140000.0,2020-07-01
IT,17,,13,Lead Network Security Engineer,,130000.0,2021-06-01
IT,32,,14,Cloud Architect,,145000.0,2022-06-01
Engineering,34,,15,Senior Security Engineer,,140000.0,2021-11-01
Engineering,42,,16,Site Reliability Engineer,,125000.0,2021-09-01
IT,24,,17,Database Administrator,,100000.0,2019-10-01
IT,10,,18,IT Systems Administrator,,85000.0,2020-02-01
Engineering,50,,19,Software Engineer,,90000.0,2022-01-01
IT,48,,20,IT Infrastructure Engineer,,120000.0,2021-01-01
IT,1,2021-01-01,21,Developer,New job,100000.0,2020-01-01
