END_DATE,ID,NAME,START_DATE,STATUS,VELOCITY
2024-07-07,1,Sprint 1,2024-07-01,Completed,30
2024-07-14,2,Sprint 2,2024-07-08,Completed,32
2024-07-21,3,Sprint 3,2024-07-15,Completed,28
2024-07-28,4,Sprint 4,2024-07-22,Completed,31
2024-08-04,5,Sprint 5,2024-07-29,Completed,29
2024-08-11,6,Sprint 6,2024-08-05,Completed,33
2024-08-18,7,Sprint 7,2024-08-12,Completed,27
2024-08-25,8,Sprint 8,2024-08-19,Completed,30
2024-09-01,9,Sprint 9,2024-08-26,Completed,29
2024-09-08,10,Sprint 10,2024-09-02,Completed,32
2024-09-15,11,Sprint 11,2024-09-09,Completed,31
2024-09-22,12,Sprint 12,2024-09-16,Completed,30
2024-09-29,13,Sprint 13,2024-09-23,Completed,32
2024-10-06,14,Sprint 14,2024-09-30,Completed,33
2024-10-13,15,Sprint 15,2024-10-07,Completed,28
2024-10-20,16,Sprint 16,2024-10-14,Completed,30
2024-10-27,17,Sprint 17,2024-10-21,Completed,31
2024-11-03,18,Sprint 18,2024-10-28,Completed,29
2024-11-10,19,Sprint 19,2024-11-04,Completed,32
2024-11-17,20,Sprint 20,2024-11-11,Completed,30
2024-11-24,21,Sprint 21,2024-11-18,In Progress,31
2024-12-01,22,Sprint 22,2024-11-25,Pending,30
2024-12-08,23,Sprint 23,2024-12-02,Pending,28
2024-12-15,24,Sprint 24,2024-12-09,Pending,33
2024-12-22,25,Sprint 25,2024-12-16,Pending,32
2024-12-29,26,Sprint 26,2024-12-23,Pending,29
